"","Locality","Prelim","22-23","13-23","PA","year","median_price"
"1","ABBOTSFORD",1027500,-7,58,4.7,2013,792500
"2","ABBOTSFORD",1027500,-7,58,4.7,2014,862500
"3","ABBOTSFORD",1027500,-7,58,4.7,2015,925000
"4","ABBOTSFORD",1027500,-7,58,4.7,2016,1187500
"5","ABBOTSFORD",1027500,-7,58,4.7,2017,1280000
"6","ABBOTSFORD",1027500,-7,58,4.7,2018,1192500
"7","ABBOTSFORD",1027500,-7,58,4.7,2019,1050000
"8","ABBOTSFORD",1027500,-7,58,4.7,2020,1200000
"9","ABBOTSFORD",1027500,-7,58,4.7,2021,1365000
"10","ABBOTSFORD",1027500,-7,58,4.7,2022,1346000
"11","ABBOTSFORD",1027500,-7,58,4.7,2023,1250000
"12","ABERFELDIE",3900000,-14,72,5.6,2013,947500
"13","ABERFELDIE",3900000,-14,72,5.6,2014,1045000
"14","ABERFELDIE",3900000,-14,72,5.6,2015,1207500
"15","ABERFELDIE",3900000,-14,72,5.6,2016,1300000
"16","ABERFELDIE",3900000,-14,72,5.6,2017,1471000
"17","ABERFELDIE",3900000,-14,72,5.6,2018,1498500
"18","ABERFELDIE",3900000,-14,72,5.6,2019,1390000
"19","ABERFELDIE",3900000,-14,72,5.6,2020,1520000
"20","ABERFELDIE",3900000,-14,72,5.6,2021,1858000
"21","ABERFELDIE",3900000,-14,72,5.6,2022,1900000
"22","ABERFELDIE",3900000,-14,72,5.6,2023,1631000
"23","AINTREE",753500,-1,NA,NA,2013,NA
"24","AINTREE",753500,-1,NA,NA,2014,NA
"25","AINTREE",753500,-1,NA,NA,2015,6e+05
"26","AINTREE",753500,-1,NA,NA,2016,6e+05
"27","AINTREE",753500,-1,NA,NA,2017,571000
"28","AINTREE",753500,-1,NA,NA,2018,557500
"29","AINTREE",753500,-1,NA,NA,2019,575000
"30","AINTREE",753500,-1,NA,NA,2020,616000
"31","AINTREE",753500,-1,NA,NA,2021,713500
"32","AINTREE",753500,-1,NA,NA,2022,756000
"33","AINTREE",753500,-1,NA,NA,2023,748000
"34","AIREYS INLET",1625000,-3,152,9.7,2013,664000
"35","AIREYS INLET",1625000,-3,152,9.7,2014,625500
"36","AIREYS INLET",1625000,-3,152,9.7,2015,680000
"37","AIREYS INLET",1625000,-3,152,9.7,2016,715000
"38","AIREYS INLET",1625000,-3,152,9.7,2017,737500
"39","AIREYS INLET",1625000,-3,152,9.7,2018,869000
"40","AIREYS INLET",1625000,-3,152,9.7,2019,985000
"41","AIREYS INLET",1625000,-3,152,9.7,2020,1132500
"42","AIREYS INLET",1625000,-3,152,9.7,2021,1775000
"43","AIREYS INLET",1625000,-3,152,9.7,2022,1725000
"44","AIREYS INLET",1625000,-3,152,9.7,2023,1675000
"45","AIRPORT WEST",860000,4,78,5.9,2013,532000
"46","AIRPORT WEST",860000,4,78,5.9,2014,575000
"47","AIRPORT WEST",860000,4,78,5.9,2015,635000
"48","AIRPORT WEST",860000,4,78,5.9,2016,742000
"49","AIRPORT WEST",860000,4,78,5.9,2017,845000
"50","AIRPORT WEST",860000,4,78,5.9,2018,845000
"51","AIRPORT WEST",860000,4,78,5.9,2019,795000
"52","AIRPORT WEST",860000,4,78,5.9,2020,812500
"53","AIRPORT WEST",860000,4,78,5.9,2021,960000
"54","AIRPORT WEST",860000,4,78,5.9,2022,911000
"55","AIRPORT WEST",860000,4,78,5.9,2023,945000
"56","ALBANVALE",612000,-1,90,6.6,2013,313000
"57","ALBANVALE",612000,-1,90,6.6,2014,328000
"58","ALBANVALE",612000,-1,90,6.6,2015,345000
"59","ALBANVALE",612000,-1,90,6.6,2016,439000
"60","ALBANVALE",612000,-1,90,6.6,2017,526500
"61","ALBANVALE",612000,-1,90,6.6,2018,546000
"62","ALBANVALE",612000,-1,90,6.6,2019,512000
"63","ALBANVALE",612000,-1,90,6.6,2020,545000
"64","ALBANVALE",612000,-1,90,6.6,2021,610000
"65","ALBANVALE",612000,-1,90,6.6,2022,6e+05
"66","ALBANVALE",612000,-1,90,6.6,2023,595000
"67","ALBERT PARK",2330000,-11,62,4.9,2013,1360000
"68","ALBERT PARK",2330000,-11,62,4.9,2014,1503000
"69","ALBERT PARK",2330000,-11,62,4.9,2015,1700000
"70","ALBERT PARK",2330000,-11,62,4.9,2016,1775000
"71","ALBERT PARK",2330000,-11,62,4.9,2017,2150000
"72","ALBERT PARK",2330000,-11,62,4.9,2018,2070000
"73","ALBERT PARK",2330000,-11,62,4.9,2019,1990000
"74","ALBERT PARK",2330000,-11,62,4.9,2020,1900000
"75","ALBERT PARK",2330000,-11,62,4.9,2021,2355000
"76","ALBERT PARK",2330000,-11,62,4.9,2022,2475000
"77","ALBERT PARK",2330000,-11,62,4.9,2023,2202500
"78","ALBION",712500,-8,102,7.3,2013,379000
"79","ALBION",712500,-8,102,7.3,2014,432000
"80","ALBION",712500,-8,102,7.3,2015,481000
"81","ALBION",712500,-8,102,7.3,2016,593000
"82","ALBION",712500,-8,102,7.3,2017,730000
"83","ALBION",712500,-8,102,7.3,2018,755000
"84","ALBION",712500,-8,102,7.3,2019,675000
"85","ALBION",712500,-8,102,7.3,2020,727500
"86","ALBION",712500,-8,102,7.3,2021,832500
"87","ALBION",712500,-8,102,7.3,2022,830000
"88","ALBION",712500,-8,102,7.3,2023,765000
"89","ALEXANDRA",470000,-13,83,6.2,2013,261000
"90","ALEXANDRA",470000,-13,83,6.2,2014,247500
"91","ALEXANDRA",470000,-13,83,6.2,2015,285000
"92","ALEXANDRA",470000,-13,83,6.2,2016,275000
"93","ALEXANDRA",470000,-13,83,6.2,2017,291500
"94","ALEXANDRA",470000,-13,83,6.2,2018,335000
"95","ALEXANDRA",470000,-13,83,6.2,2019,325000
"96","ALEXANDRA",470000,-13,83,6.2,2020,380000
"97","ALEXANDRA",470000,-13,83,6.2,2021,440000
"98","ALEXANDRA",470000,-13,83,6.2,2022,550000
"99","ALEXANDRA",470000,-13,83,6.2,2023,477500
"100","ALFREDTON",607500,-2,77,5.9,2013,361500
"101","ALFREDTON",607500,-2,77,5.9,2014,362000
"102","ALFREDTON",607500,-2,77,5.9,2015,340500
"103","ALFREDTON",607500,-2,77,5.9,2016,375000
"104","ALFREDTON",607500,-2,77,5.9,2017,412500
"105","ALFREDTON",607500,-2,77,5.9,2018,439000
"106","ALFREDTON",607500,-2,77,5.9,2019,480000
"107","ALFREDTON",607500,-2,77,5.9,2020,512000
"108","ALFREDTON",607500,-2,77,5.9,2021,605000
"109","ALFREDTON",607500,-2,77,5.9,2022,650000
"110","ALFREDTON",607500,-2,77,5.9,2023,640000
"111","ALLANSFORD",365000,5,94,6.8,2013,310000
"112","ALLANSFORD",365000,5,94,6.8,2014,242500
"113","ALLANSFORD",365000,5,94,6.8,2015,259000
"114","ALLANSFORD",365000,5,94,6.8,2016,275000
"115","ALLANSFORD",365000,5,94,6.8,2017,280000
"116","ALLANSFORD",365000,5,94,6.8,2018,245000
"117","ALLANSFORD",365000,5,94,6.8,2019,3e+05
"118","ALLANSFORD",365000,5,94,6.8,2020,371000
"119","ALLANSFORD",365000,5,94,6.8,2021,445000
"120","ALLANSFORD",365000,5,94,6.8,2022,573500
"121","ALLANSFORD",365000,5,94,6.8,2023,6e+05
"122","ALPHINGTON",NA,-5,92,6.8,2013,1080000
"123","ALPHINGTON",NA,-5,92,6.8,2014,1029000
"124","ALPHINGTON",NA,-5,92,6.8,2015,1296500
"125","ALPHINGTON",NA,-5,92,6.8,2016,1272500
"126","ALPHINGTON",NA,-5,92,6.8,2017,1560000
"127","ALPHINGTON",NA,-5,92,6.8,2018,1612500
"128","ALPHINGTON",NA,-5,92,6.8,2019,1455000
"129","ALPHINGTON",NA,-5,92,6.8,2020,1865000
"130","ALPHINGTON",NA,-5,92,6.8,2021,2280000
"131","ALPHINGTON",NA,-5,92,6.8,2022,2195000
"132","ALPHINGTON",NA,-5,92,6.8,2023,2076000
"133","ALTONA",1035500,-4,98,7.1,2013,572500
"134","ALTONA",1035500,-4,98,7.1,2014,646500
"135","ALTONA",1035500,-4,98,7.1,2015,718000
"136","ALTONA",1035500,-4,98,7.1,2016,832500
"137","ALTONA",1035500,-4,98,7.1,2017,950000
"138","ALTONA",1035500,-4,98,7.1,2018,932500
"139","ALTONA",1035500,-4,98,7.1,2019,890000
"140","ALTONA",1035500,-4,98,7.1,2020,914000
"141","ALTONA",1035500,-4,98,7.1,2021,1162500
"142","ALTONA",1035500,-4,98,7.1,2022,1180000
"143","ALTONA",1035500,-4,98,7.1,2023,1135000
"144","ALTONA EAST",850000,-7,83,6.2,2013,561500
"145","ALTONA EAST",850000,-7,83,6.2,2014,605000
"146","ALTONA EAST",850000,-7,83,6.2,2015,650000
"147","ALTONA EAST",850000,-7,83,6.2,2016,8e+05
"148","ALTONA EAST",850000,-7,83,6.2,2017,9e+05
"149","ALTONA EAST",850000,-7,83,6.2,2018,909000
"150","ALTONA EAST",850000,-7,83,6.2,2019,857500
"151","ALTONA EAST",850000,-7,83,6.2,2020,870000
"152","ALTONA EAST",850000,-7,83,6.2,2021,980000
"153","ALTONA EAST",850000,-7,83,6.2,2022,1100000
"154","ALTONA EAST",850000,-7,83,6.2,2023,1025000
"155","ALTONA MEADOWS",666000,-7,77,5.9,2013,390000
"156","ALTONA MEADOWS",666000,-7,77,5.9,2014,413000
"157","ALTONA MEADOWS",666000,-7,77,5.9,2015,440000
"158","ALTONA MEADOWS",666000,-7,77,5.9,2016,495000
"159","ALTONA MEADOWS",666000,-7,77,5.9,2017,626500
"160","ALTONA MEADOWS",666000,-7,77,5.9,2018,631500
"161","ALTONA MEADOWS",666000,-7,77,5.9,2019,615000
"162","ALTONA MEADOWS",666000,-7,77,5.9,2020,640000
"163","ALTONA MEADOWS",666000,-7,77,5.9,2021,720000
"164","ALTONA MEADOWS",666000,-7,77,5.9,2022,740000
"165","ALTONA MEADOWS",666000,-7,77,5.9,2023,690000
"166","ALTONA NORTH",860000,-7,73,5.6,2013,510000
"167","ALTONA NORTH",860000,-7,73,5.6,2014,555000
"168","ALTONA NORTH",860000,-7,73,5.6,2015,642500
"169","ALTONA NORTH",860000,-7,73,5.6,2016,725000
"170","ALTONA NORTH",860000,-7,73,5.6,2017,825000
"171","ALTONA NORTH",860000,-7,73,5.6,2018,835000
"172","ALTONA NORTH",860000,-7,73,5.6,2019,790000
"173","ALTONA NORTH",860000,-7,73,5.6,2020,830000
"174","ALTONA NORTH",860000,-7,73,5.6,2021,905000
"175","ALTONA NORTH",860000,-7,73,5.6,2022,942500
"176","ALTONA NORTH",860000,-7,73,5.6,2023,880500
"177","ANGLESEA",1455000,-10,182,10.9,2013,550000
"178","ANGLESEA",1455000,-10,182,10.9,2014,612500
"179","ANGLESEA",1455000,-10,182,10.9,2015,635000
"180","ANGLESEA",1455000,-10,182,10.9,2016,652500
"181","ANGLESEA",1455000,-10,182,10.9,2017,788000
"182","ANGLESEA",1455000,-10,182,10.9,2018,870000
"183","ANGLESEA",1455000,-10,182,10.9,2019,915000
"184","ANGLESEA",1455000,-10,182,10.9,2020,1100000
"185","ANGLESEA",1455000,-10,182,10.9,2021,1440000
"186","ANGLESEA",1455000,-10,182,10.9,2022,1717500
"187","ANGLESEA",1455000,-10,182,10.9,2023,1550000
"188","APOLLO BAY",885000,8,140,9.1,2013,450000
"189","APOLLO BAY",885000,8,140,9.1,2014,457500
"190","APOLLO BAY",885000,8,140,9.1,2015,435000
"191","APOLLO BAY",885000,8,140,9.1,2016,480000
"192","APOLLO BAY",885000,8,140,9.1,2017,545000
"193","APOLLO BAY",885000,8,140,9.1,2018,555000
"194","APOLLO BAY",885000,8,140,9.1,2019,915000
"195","APOLLO BAY",885000,8,140,9.1,2020,710000
"196","APOLLO BAY",885000,8,140,9.1,2021,924500
"197","APOLLO BAY",885000,8,140,9.1,2022,1e+06
"198","APOLLO BAY",885000,8,140,9.1,2023,1080000
"199","ARARAT",330000,-1,109,7.6,2013,180000
"200","ARARAT",330000,-1,109,7.6,2014,2e+05
"201","ARARAT",330000,-1,109,7.6,2015,210000
"202","ARARAT",330000,-1,109,7.6,2016,204500
"203","ARARAT",330000,-1,109,7.6,2017,199000
"204","ARARAT",330000,-1,109,7.6,2018,199000
"205","ARARAT",330000,-1,109,7.6,2019,215000
"206","ARARAT",330000,-1,109,7.6,2020,244000
"207","ARARAT",330000,-1,109,7.6,2021,313000
"208","ARARAT",330000,-1,109,7.6,2022,380000
"209","ARARAT",330000,-1,109,7.6,2023,375000
"210","ARDEER",707500,-8,90,6.6,2013,330000
"211","ARDEER",707500,-8,90,6.6,2014,360000
